,price,score,processor gen,type of core,no of threads,Ram,storage capacity,ppi,Warranty,brand_names_apple,brand_names_asus,brand_names_dell,brand_names_hp,brand_names_lenovo,brand_names_msi,brand_names_others,processor brand_Apple,processor brand_Intel,processor brand_others,processor type_celeron,processor type_i3,processor type_i5,processor type_i7,processor type_i9,processor type_m1,processor type_m2,processor type_others,processor type_pentium,processor type_ryzen,ram type_ddr4,ram type_ddr5,ram type_lpddr3,ram type_lpddr4,ram type_lpddr4x,ram type_lpddr5,ram type_ram,ram type_unified,storage type_SSD,OS_DOS,OS_Mac,OS_Windows,OS_Windows 10,OS_Windows 11,OS_others
10,63500,73.0,11.0,8.0,8.0,8,512.0,141.21199808219862,2.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,49990,66.0,5.0,6.0,8.0,8,512.0,141.50971698084905,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12,47490,60.0,12.0,6.0,8.0,8,512.0,141.21199808219862,1.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
13,69990,,13.0,12.0,8.0,8,512.0,157.3505121487356,1.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
14,35499,62.0,5.0,4.0,8.0,8,512.0,141.21199808219862,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
15,49490,62.0,12.0,12.0,16.0,16,512.0,141.21199808219862,1.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
16,35499,61.0,11.0,2.0,8.0,8,1024.0,141.21199808219862,,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,30990,,10.0,2.0,8.0,8,256.0,157.3505121487356,1.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
18,83900,,,8.0,8.0,8,256.0,226.98300468106115,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
19,19999,,,8.0,4.0,4,128.0,135.0942111925629,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20,63990,67.0,4.0,6.0,8.0,8,512.0,127.33567457123111,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
21,42490,61.0,11.0,4.0,8.0,8,512.0,141.21199808219862,1.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
22,21499,,,4.0,4.0,4,128.0,142.79410991936592,1.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,27990,,3.0,2.0,8.0,8,256.0,141.21199808219862,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
24,38170,,11.0,2.0,8.0,8,512.0,141.57501093073896,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25,18990,,,2.0,8.0,8,256.0,157.3505121487356,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
26,58490,69.0,5.0,6.0,8.0,8,512.0,141.21199808219862,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
27,54490,67.0,5.0,6.0,16.0,16,512.0,141.50971698084905,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
28,65990,68.0,5.0,8.0,16.0,16,512.0,141.21199808219862,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29,58490,65.0,11.0,4.0,8.0,8,1024.0,141.21199808219862,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,67490,65.0,12.0,12.0,16.0,16,512.0,141.21199808219862,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
31,16990,,,8.0,4.0,4,64.0,135.0942111925629,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
32,38799,,5.0,6.0,8.0,8,512.0,141.21199808219862,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
33,52890,69.0,11.0,4.0,8.0,8,512.0,141.21199808219862,1.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
34,40990,60.0,11.0,2.0,8.0,8,512.0,141.21199808219862,1.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
