brand_names,model name,price,score,processor brand,processor type,processor gen,type of core,no of threads,Ram,ram type,storage type,storage capacity,screen size,screen resolution,OS,Warranty
asus,Asus ROG Strix SCAR 17 SE G733CX-LL021X Gaming ,359999,85.0,Intel,i9,12.0,,32.0,32,ddr5,SSD,4096.0,17.3, 2560 x 1440 ,Windows 11 ,1.0
lenovo,Lenovo ThinkPad X1 Carbon 20XWS1XJ00 ,245250,62.0,Intel,i7,11.0,4,16.0,16,ram,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
chuwi,Chuwi HeroBook Pro ,23990,,Intel,,,2,8.0,8,ddr3,SSD,256.0,14.1, 1366 x 768 ,Windows 10 ,0.08
acer,Acer Aspire 3 A315-23 NX.HVTSI.008 ,35990,,AMD,ryzen,3.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
msi,MSI Gaming Katana GF66 12UE-262IN ,144834,75.0,Intel,i7,12.0,14,16.0,16,ram,SSD,1024.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus ROG Strix Scar 15 G533ZXZ-LN116WS Gaming ,281990,87.0,Intel,i9,12.0,14,32.0,32,ddr5,SSD,1024.0,15.6, 2560 x 1440 ,Windows 11 ,1.0
msi,MSI Katana GF76 11UE-485IN ,92900,72.0,Intel,i7,11.0,8,16.0,16,ram,SSD,512.0,17.32, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo IdeaPad 3 15ITL6 82H802KYIN ,51990,,Intel,i5,11.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo ThinkPad E15 20T8S0MD00 ,86700,62.0,AMD,ryzen,4.0,8,8.0,8,ram,SSD,512.0,14.0, 1920 x 1080 ,Windows 10 ,1.0
asus,Asus Vivobook S14 Flip 2022 TN3402QA-LZ501WS ,68200,,AMD,ryzen,5.0,6,16.0,16,ddr4,SSD,512.0,14.0, 1920 x 1200 ,Windows 11 ,1.0
asus,Asus VivoBook Ultra K14 K413EA-EB523WS ,56990,61.0,Intel,i5,11.0,4,16.0,16,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus VivoBook 15 X515JA-EJ312WS ,32990,,Intel,i3,10.0,2,8.0,8,ddr4,SSD,256.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Spectre x360 13-ef0057TU ,108990,69.0,Intel,i5,12.0,10,16.0,16,lpddr4x,SSD,512.0,13.5, 1920 x 1280 ,Windows 11 ,1.0
