,model,price,score,processor,no of cores,storage,ram,display,os,warranty
536,Lenovo Ideapad Flex 5 14IAU7 82R7006EIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹60,990",61,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",512 GB SSD,8 GB LPDDR4 RAM,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
537,Lenovo Legion 5 82JU00SYIN Laptop (AMD Ryzen 7 5800H/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,29,994",79,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",1 TB SSD,16 GB DDR4 RAM,"16 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
538,Lenovo IdeaPad Slim 5 82LN00JSIN Laptop (Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),"₹62,829",68,5th Gen AMD Ryzen 7  5700U,"Octa Core, 16 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
539,MSI Raider GE77HX 12UHS-205IN Gaming Laptop (12th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 16GB Graph),"₹3,49,990",86,12th Gen Intel Core i9 12900HX,"16 Cores (8P + 8E), 24 Threads",2 TB SSD,32 GB DDR5 RAM,"17.3 inches, 3840 x 2160 pixels",Windows 11 OS,2 Year Warranty
540,Lenovo Legion 5 Pro 16IAH7H 82RF00MGIN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,67,990",81,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,16 GB DDR5 RAM,"16 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
541,Asus VivoBook K15 OLED K513EA-L503WS Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win11 Home),"₹67,000",66,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",1 TB Hard Disk,16 GB DDR4 RAM,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
542,Lenovo IdeaPad Slim 5 82SF004XIN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹82,990",67,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
543,Lenovo V15 G2 82KDA00UIH Laptop (Ryzen 3 5300U/ 4GB/ 512GB SSD/ DOS),"₹31,500",,5th Gen AMD Ryzen 3 5300U,"Quad Core, 8 Threads",512 GB SSD,4 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",DOS OS,1 Year Warranty
544,Asus EeeBook E410KA-BV101WS Laptop (Pentium N6000/ 8GB/ 256GB SSD/ Win11 Home),"₹28,990",,Intel Pentium  N6000,"Quad Core, 4 Threads",256 GB SSD,8 GB DDR4 RAM,"14.1 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
545,HP Victus 15-fb0053AX Gaming Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹83,099",71,5th Gen AMD Ryzen 7 5800H ,"Octa Core, 16 Threads",512 GB SSD,16 GB DDR4 RAM,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
546,Asus ROG Strix Scar 17 SE G733CX-LL013WS Gaming Laptop (12th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 16GB Graph),"₹3,59,990",86,12th Gen Intel Core i9 12950HX,"16 Cores (8P + 8E), 24 Threads",2 TB SSD,32 GB DDR5 RAM,"17.3 inches, 2560 x 1440 pixels",Windows 11 OS,1 Year Warranty
547,Asus Vivobook 15 2022 X1502ZA-EZ511WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹64,980",66,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
548,Acer Nitro 5 AN515-58 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹82,990",72,12th Gen Intel Core i5 12500H ,"Octa Core, 16 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
549,Acer Nitro AN515-57 UN.QEHSI.003 Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹62,990",67,11th Gen Intel Core i5 11400H,"Hexa Core, 12 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
550,Asus Zenbook Flip 14 OLED UP5401ZA-KN711WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),"₹1,20,000",78,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,16 GB LPDDR5 RAM,"14 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
551,Asus ProArt StudioBook Pro 16 OLED H7600ZW-L911W Laptop (12th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),"₹2,49,990",,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,32 GB DDR5 RAM,"16 inches, 3840 x 2400 pixels",Windows 11 OS,1 Year Warranty
552,HP Envy x360 13-bf0059TU Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹1,04,990",68,12th Gen Intel Core i7 1250U,"10 Cores, 12 Threads",512 GB SSD,16 GB LPDDR4x RAM,"13.3 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
553,Lenovo IdeaPad Gaming 3 15ACH6 82K201Y8IN Laptop (AMD Ryzen 7-5800H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹73,590",72,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
554,Asus ZenBook Pro Duo 14 OLED UX8402ZE-LM921WS Laptop (12th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 4GB Graph),"₹1,79,990",85,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,32 GB LPDDR5 RAM,"14.5 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
555,Asus TUF Gaming A15 2022 FA577RM-HF031WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,20,990",81,6th Gen AMD Ryzen 7 6800H ,"Octa Core, 16 Threads",1 TB SSD,16 GB DDR5 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
556,HP Victus 15-fa0353TX Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹90,990",63,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
557,Lenovo IdeaPad Gaming 3 82K201YCIN Laptop (AMD Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹66,489",71,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
